id,person
1765,vinicius
1767,dazn
1767,orange
1768,claudia
1769,puxa
1775,armando palacio valdés
1778,nacer
1779,taylor swift
1786,usipa
1787,barbón
1787,tameza
1788,carmen moriyon
1789,pedro delgado
1791,rafael berenguer coloma
1799,hilary duff
1800,vinicius junior
1800,cristian álvarez
1804,pep
1807,guillermo rendueles
1812,barbón
1819,gonzález fuertes
1819,celta
1819,díaz vega
1822,celta
1826,sentydoart
1828,cristina gallego
1828,losantos
1828,gallardo
1828,fatuo
1828,fatu
1832,kelly roller
1835,pedro díaz
1838,sentydoart
1838,siero
1842,diego fernández
1842,pitu abelardo
1842,claudia
1848,mikel
1853,mareao
1853,taty
1853,kubo
1861,barbón
1862,lourdes álvarez
1868,felipe iv
1877,barbón
1878,maría morán
1878,ancelotti
1879,cope
1879,ser
1879,as
1879,marca
1879,chiringuito
1879,vinicius
1880,maría morán
1882,barbón
1885,xosé bolado
1890,xosé bolado
1894,david guardado
1897,maría morán
1897,ancelotti
1903,sentydoart
1903,pola
1903,siero
1909,messi
1914,negreira
1925,canteli
1927,meryl streep
1927,spiderman
1928,iris sánchez
1932,meyba
1932,casabella
1932,eder
1932,kelme
1936,meryl streep
1936,spiderman
1937,miguel crack
1937,swiftez
1938,putin
1948,tineo
1957,orlegi
1963,letizia
1972,nacho fonseca
1980,llingua asturiana
1983,lourdes álvarez
1983,marta mori
1983,carlos gonzález espina
1983,ana lamela
1995,carlos suárez
1999,lourdes álvarez
2001,cristina mitre
2003,cristina mitre
2005,enrique sobrino
2012,justo
2012,fernández
2023,fernández
2023,álvarez
2024,celta
2040,xaime martínez
2042,primíu
2046,lourdes álvarez
2052,cristina mitre
2058,xosé bolado
2062,fernando alonso
2062,taylor
2062,fernando alonso díaz
2068,lechera
2069,lechera asturiana
2070,leclerc
2070,verstappen
2074,fernando alonso
2077,leche
2081,adrian barbon
2082,nicolás redondo
2085,canteli
2086,papuchi
2095,siero
2099,daniel teijeira
2105,maría cidón
2112,rey
2114,josé carreras
2124,aston martin
2130,mónica pol
2131,iris sánchez
2131,iris
2132,duro felguera
2132,duro felguera
2134,annemiek
2134,demi
2141,marina fernández
2141,carlos iii
2147,eric aeschiman
2154,martínez
2154,paez
2155,m.a
2155,irulegi
2155,nafarroa euskaldun
2156,helena gil
2160,maría sierra
2162,vinicius
2162,vinicius
2164,lucía gonzález blanco
2165,pablo nosti
2183,peter griffin
2187,fernando alonso
2187,taylor
2188,taylor
2197,xixón
2202,peperros
2209,tony genil
2209,prau
2213,ángel corpa
2216,xixón
2223,juan antonio lázaro
2228,saras
2235,yá
2238,caballero
2238,javier fernández
2243,valdés
2245,adelaida
2245,asturiana
2245,albaricoque
2245,anastasia
2248,anaju
2258,barbón
2261,carlos suárez
2262,barbón
2265,barbón
2266,silbon
2267,visconti
2276,david guardado
2276,lourdes álvarez
2277,david guardado
2281,xavi
2283,pep
2309,calvo
2310,fernández ortiz
2314,leopoldo alas
2314,clarín
2314,clarín
2316,juan junquera huergo
2316,xixón
2316,manuel junquera
2323,javier amandi
2325,melendi
2333,paula valero
2346,cervera
2350,fernando herranz
2351,marcos freire
2352,barbón
2352,areces
2352,fernández
2354,flavia álvarez
2354,pedrosa pruvost
2355,latierrinaenmadrid
2355,madridrio
2357,flavia álvarez
2357,pedrosa pruvost
2357,flavita banana
2360,flavita banana
2367,carolina garcía
2369,adrián barbón
2370,marca
2370,chirincirco
2374,sara ouzande
2378,teresa portela
2378,carolina garcía
2379,paula valero
2387,e noah kah
2391,nacer
2393,luis argüelles
2405,ángela salvadores
2406,salvini
2409,salvini
2411,salvini
2412,paloma
2412,isrrael
2413,israel
2413,loreen macho
2415,borja sánchez
2416,salvini
2417,salvini
2419,letizia
2424,pablo rodríguez
2424,grao
2426,vini
2427,claudia gutiérrez lueje
2427,víctor garcía martínez
2440,colunga
2442,alba garcía
2444,borja s.
2444,koba
2444,lne
2444,costas
2456,salvini
2457,salvini
2460,esther freile
2462,busquets
2463,florentino
2463,florentino
2464,salvini
2465,salvini
2466,salvini
2467,charla
2468,salvini
2469,gavi
2470,salvini
2471,iván allende
